iter	RMSE
127	0.1125817848
128	0.1123522515
129	0.1121231886
130	0.1117642599
131	0.1114722462
132	0.111178178
133	0.1109076806
134	0.1107039712
135	0.1105405337
136	0.1102378552
137	0.1100082167
138	0.1096479371
139	0.1095348108
140	0.1093734904
141	0.1090955499
142	0.1089490094
143	0.1088050565
144	0.1086152562
145	0.1084062441
146	0.1081764702
147	0.1080093287
148	0.1078168988
149	0.1076309033
150	0.1074186146
151	0.1072629313
152	0.1071178842
153	0.1069647036
154	0.1067395457
155	0.1064651214
156	0.1063325117
157	0.1061161224
158	0.1059585176
159	0.1058668718
160	0.1056386618
161	0.1054122497
162	0.1052591975
163	0.10515696
164	0.1049935453
165	0.1047447251
166	0.104532904
167	0.1044594743
168	0.1043038271
169	0.1041106496
170	0.1038636275
171	0.1036670663
172	0.1034946757
173	0.1033683278
174	0.1031467832
175	0.1030219876
176	0.1028389361
177	0.1026626939
178	0.1025332843
179	0.1024495299
180	0.1023263304
181	0.1021113067
182	0.1018751999
183	0.1016585024
184	0.1015118917
185	0.1013171709
186	0.1012218458
187	0.1010514866
188	0.1008892363
189	0.1006632047
190	0.100442829
191	0.1002180729
192	0.100076393
193	0.09988431224
194	0.09977059458
195	0.09954817218
196	0.09940358884
197	0.09930511729
198	0.09921995081
199	0.09912297331
200	0.09895953988
201	0.09875957099
202	0.0986312726
203	0.09848423383
204	0.09837942699
205	0.09821689535
206	0.09807231195
207	0.09792933125
208	0.09783649948
209	0.09764840304
210	0.09755829088
211	0.09736489786
212	0.09724151817
213	0.09714186733
214	0.09696890066
215	0.09679988586
216	0.09669715064
217	0.09655807597
218	0.09636395452
219	0.09616724583
220	0.09602174936
221	0.09588077031
222	0.09571765134
223	0.09558143782
224	0.09544211227
225	0.09532099444
226	0.09516363567
227	0.09497739521
228	0.09479793433
229	0.09458023729
230	0.09443897983
231	0.09429834679
232	0.09417134118
233	0.09403793611
234	0.09397534546
235	0.09380079491
236	0.09359569343
237	0.09334992936
238	0.09323162183
239	0.09310270096
240	0.0929299843
241	0.09280947969
242	0.09270160353
243	0.09251595332
244	0.09237058875
245	0.09217745951
246	0.09203696589
247	0.0919267112
248	0.09178145133
249	0.09159230576
250	0.09148682655
251	0.09132459945
252	0.09118894632
253	0.09110099497
254	0.09098994937
255	0.09079264841
256	0.09062283242
257	0.09050405466
258	0.09035103027
259	0.09019948013
260	0.09002018155
261	0.08981638654
262	0.08970124639
263	0.08957164831
264	0.08941129985
265	0.08931124212
266	0.08921094337
267	0.08910297263
268	0.08899513451
269	0.08886698872
270	0.08872960205
271	0.08858565817
272	0.08847709504
273	0.0883266649
274	0.08813320891
275	0.08803561632
276	0.08787913197
277	0.08770792163
278	0.08762493377
279	0.0874717819
280	0.08736396126
281	0.08723787514
282	0.0870420828
283	0.08694139801
284	0.08683749499
285	0.08664110373
286	0.08650204147
287	0.08639265395
288	0.08630035252
289	0.08618877484
290	0.08607170011
291	0.08595832988
292	0.08580126561
293	0.08566978277
294	0.08558524375
295	0.08546681085
296	0.08532792281
297	0.08519801243
298	0.08503660174
299	0.08483560171
300	0.08473520543
301	0.08464319271
302	0.08449007632
303	0.08440469756
304	0.08435755084
305	0.08429412822
306	0.08416123658
307	0.08398362313
308	0.08384541893
309	0.08366398582
310	0.08352654173
311	0.08346082889
312	0.08333563328
313	0.08322360041
314	0.083072458
315	0.08293922639
316	0.08283726487
317	0.08264644589
318	0.08251913301
319	0.08236721305
320	0.08225959762
321	0.08211487274
322	0.08206905267
323	0.08198147854
324	0.0818980495
325	0.08184185578
326	0.0817889683
327	0.08171099065
328	0.08163259319
329	0.08160611732
330	0.08149394127
331	0.08139546271
332	0.08127140151
333	0.08117548309
334	0.08105906227
335	0.080904432
336	0.08079774295
337	0.08064891046
338	0.08056320569
339	0.08050934115
340	0.08041360503
341	0.08031693285
342	0.08011347145
343	0.08002886378
344	0.07991593419
345	0.07981703189
346	0.07971972084
347	0.07958929789
348	0.07942973249
349	0.0793102895
350	0.07924069373
351	0.079102996
352	0.07899787278
353	0.07892963218
354	0.07885882559
355	0.07877314238
356	0.07863429425
357	0.07855991701
358	0.07844467252
359	0.07836489315
360	0.07823142171
361	0.0781684472
362	0.07806171401
363	0.07784782738
364	0.07772071198
365	0.07766768483
366	0.07754139044
367	0.07748086772
368	0.07741142304
369	0.07729152427
370	0.07713552462
371	0.07704203989
372	0.07692582355
373	0.07684681346
374	0.07675300247
375	0.07669128672
376	0.07664680713
377	0.07650101563
378	0.07642794152
379	0.07631173617
380	0.07625805376
381	0.07615551826
382	0.07608555056
383	0.07596746218
384	0.0758588453
385	0.07573203081
386	0.07564352808
387	0.0755744622
388	0.07548353054
389	0.07531504642
390	0.07520870106
391	0.07514547379
392	0.07507861816
393	0.07501735759
394	0.07494074253
395	0.07488238049
396	0.07478735414
397	0.07467221994
398	0.0746163525
399	0.0745654306
400	0.07453136378
401	0.07450402901
402	0.07439510536
403	0.07435166306
404	0.07420584242
405	0.07409282903
406	0.07403876993
407	0.0739087589
408	0.07387711468
409	0.07372082567
410	0.07365560383
411	0.0735502483
412	0.07345260521
413	0.07339557415
414	0.07332196722
415	0.07327173498
416	0.07319303965
417	0.0731438529
418	0.07307855382
419	0.07301927714
420	0.07293617613
421	0.07288877861
422	0.07286323274
423	0.07282144739
424	0.07275984592
425	0.07273380899
426	0.07262220871
427	0.07248683672
428	0.07241145606
429	0.07230640964
430	0.07224273198
431	0.07215559345
432	0.07204650185
433	0.0719643652
434	0.07187297577
435	0.07178510113
436	0.07169078548
437	0.07161120808
438	0.07159294546
439	0.07145751635
440	0.07141239756
441	0.07138678763
442	0.0713320042
443	0.07128117665
444	0.07123426594
445	0.07116833861
446	0.07107920552
447	0.07100072153
448	0.07092404194
449	0.07081338061
450	0.07071635885
451	0.07063559422
452	0.07057856615
453	0.07049150701
454	0.07045631479
455	0.07034968791
456	0.0703068949
457	0.07024147231
458	0.07013759086
459	0.07002652096
460	0.0699027926
461	0.06976844095
462	0.06968209945
463	0.0695659113
464	0.06949308617
465	0.06934274221
466	0.06925450441
467	0.06918516748
468	0.06912955432
469	0.06907627692
470	0.06898725479
471	0.06896794442
472	0.06892226803
473	0.06885065159
474	0.06878439337
475	0.06873873898
476	0.06867896286
477	0.06858023403
478	0.06850291983
479	0.06841842828
480	0.06834725985
481	0.06829712797
482	0.06823839509
483	0.0682109542
484	0.06816362005
485	0.06808958666
486	0.06801893213
487	0.06800274925
488	0.06790249573
489	0.06783865011
490	0.06772013789
491	0.06763233142
492	0.06759566895
493	0.06757650356
494	0.06751555327
495	0.06749387236
496	0.06746592093
497	0.06737885511
498	0.06731581142
499	0.06729729675
500	0.06723855354
501	0.06719913243
502	0.06710570382
503	0.06705073822
504	0.06696274087
505	0.06688298643
506	0.06683607666
507	0.06676970431
508	0.06669118193
509	0.0665905475
510	0.06653993472
511	0.06648657662
512	0.06644812565
513	0.06635576974
514	0.06626846168
515	0.06616781146
516	0.06610343459
517	0.06603399624
518	0.06598174662
519	0.06592785357
520	0.06587327711
521	0.06581797695
522	0.06574442847
523	0.06564880401
524	0.06559779713
525	0.06552668281
526	0.06543313557
527	0.06532672845
528	0.065266984
529	0.06515069094
530	0.06507995331
531	0.06502672142
532	0.0650023424
533	0.06493248846
534	0.06481968861
535	0.06473909014
536	0.06466300879
537	0.06454534132
538	0.06452495514
539	0.06451279627
540	0.06441701046
541	0.0643657499
542	0.06427456692
543	0.06420641843
544	0.06413476382
545	0.06408601328
546	0.06400664931
547	0.06398185249
548	0.06394363275
549	0.06391813058
550	0.0638429353
551	0.06377284775
552	0.06368498737
553	0.063668328
554	0.06356481648
555	0.06348980487
556	0.0634106987
557	0.06334020799
558	0.06326456016
559	0.063175581
560	0.06309665737
561	0.06302579711
562	0.06299296834
563	0.06292146839
564	0.06291350669
565	0.0628365521
566	0.06276289003
567	0.06269086531
568	0.06262087934
569	0.06252145673
570	0.06245867204
571	0.06242968346
572	0.06236184935
573	0.06230243016
574	0.06224397158
575	0.06217023296
576	0.06211629839
577	0.06201072165
578	0.06196100282
579	0.061917058
580	0.06190658002
581	0.06183702576
582	0.06177336785
583	0.06170331173
584	0.0617000057
585	0.06160512428
586	0.0615701278
587	0.06154297302
588	0.06146224863
589	0.06136081182
590	0.0612850173
591	0.06122990592
592	0.06119518829
593	0.06115258981
594	0.06109656314
595	0.06103514921
596	0.06095215678
597	0.06087269139
598	0.06076235125
599	0.06066332086
600	0.06062288285
601	0.06054784781
602	0.06044012515
603	0.06043418882
604	0.06041774274
605	0.06032956471
606	0.0602652782
607	0.06016528348
608	0.06008453204
609	0.05998011024
610	0.05996564401
611	0.05990956991
612	0.05982714502
613	0.05975975925
614	0.05967794482
615	0.05959849756
616	0.05953729
617	0.0594597084
618	0.05938336057
619	0.05935969598
620	0.05930060084
621	0.05923765769
622	0.05920081693
623	0.05911510345
624	0.05903349836
625	0.0589853739
626	0.05893044325
627	0.0588791765
628	0.05876692889
629	0.05873609397
630	0.05867495301
631	0.05864740927
632	0.05857960062
633	0.05849561671
634	0.05840567889
635	0.05835153241
636	0.05827464316
637	0.05821337451
638	0.05817062477
639	0.05810793254
640	0.05805855009
641	0.05796294314
642	0.057894817
643	0.05782936803
644	0.05776282835
645	0.05769435305
646	0.05759991332
647	0.05754803367
648	0.05751197265
649	0.05741968741
650	0.05739474041
651	0.05737941153
652	0.05733282516
653	0.05730031188
654	0.05724015637
655	0.05715721814
656	0.05705870482
657	0.05704530926
658	0.05699685696
659	0.05694605298
660	0.0568894363
661	0.05684432224
662	0.05679968666
663	0.05671805266
664	0.05668199587
665	0.05660645272
666	0.05655823995
667	0.0564989104
668	0.05640643975
669	0.05633957914
670	0.05627486112
671	0.05619853215
672	0.05616624945
673	0.05609055974
674	0.05601529492
675	0.05600983496
676	0.05596069736
677	0.05588725211
678	0.05579601138
679	0.05574768996
680	0.05570001015
681	0.05568615473
682	0.05562122901
683	0.05558330469
684	0.05553216211
685	0.05546284688
686	0.05542938149
687	0.05538308487
688	0.05531057441
689	0.05529878962
690	0.05518478192
691	0.0551620523
692	0.05511547354
693	0.05508965425
694	0.05500554146
695	0.05497386217
696	0.05494221612
697	0.05487739183
698	0.05482027491
699	0.05474740296
700	0.05466057359
701	0.05462565582
702	0.05462128584
703	0.05455538174
704	0.05449323834
705	0.05443335088
706	0.05437648653
707	0.05429996158
708	0.05426380481
709	0.05421686227
710	0.05417579434
711	0.05409509273
712	0.05406342145
713	0.05400466562
714	0.05394870718
715	0.05389302628
716	0.0538490364
717	0.0537948931
718	0.0537516588
719	0.05366334689
720	0.05362288156
721	0.05354508842
722	0.0534907897
723	0.05343231943
724	0.05337509898
725	0.05331575148
726	0.05327488085
727	0.05322269299
728	0.05316171803
729	0.05313536578
730	0.05312050361
731	0.05305707624
732	0.05300905796
733	0.05295376047
734	0.05288815284
735	0.05282663908
736	0.05279173067
737	0.05274156435
738	0.05268707358
739	0.05263943294
740	0.05259359188
741	0.05250833986
742	0.05248154575
743	0.05240673314
744	0.05235699218
745	0.05229296204
746	0.05223814119
747	0.05216954679
748	0.0521210539
749	0.05208603416
750	0.05200943565
751	0.05196255035
752	0.05191055804
753	0.0518863491
754	0.05184617213
755	0.05179539609
756	0.05174764092
757	0.05171318529
758	0.05164687066
759	0.05158005408
760	0.05151987569
761	0.05146516657
762	0.0513700002
763	0.05129878886
764	0.05123343776
765	0.05119039457
766	0.05114980715
767	0.05110178228
768	0.05102420829
769	0.0509376433
770	0.0508662599
771	0.05086344696
772	0.05080937192
773	0.05076707162
774	0.05069283979
775	0.05067111212
776	0.05064029362
777	0.050588551
778	0.05053120528
779	0.05045941505
780	0.05040417735
781	0.05035611924
782	0.05030544332
783	0.05028247042
784	0.05023187855
785	0.05019061108
786	0.05014368676
787	0.050100937
788	0.05003580962
789	0.04996832171
790	0.04989461251
791	0.04986707431
792	0.04979364882
793	0.04973718904
794	0.0496849989
795	0.04963965103
796	0.0496004682
797	0.04952418666
798	0.04948275491
799	0.04944405916
800	0.04938693596
801	0.04935961565
802	0.04932635834
803	0.04926728537
804	0.04921429553
805	0.04913979835
806	0.04908374385
807	0.04904015673
808	0.04898687046
809	0.04894876481
810	0.04891516031
811	0.04887089115
812	0.04882843489
813	0.04877873617
814	0.04875571952
815	0.04870990921
816	0.04866602459
817	0.04858488892
818	0.04854210083
819	0.04850529876
820	0.04846614494
821	0.0483981062
822	0.04834781702
823	0.04829775946
824	0.04825378395
825	0.04820798105
826	0.04817621287
827	0.04812281332
828	0.04807597922
829	0.04805042857
830	0.0480181706
831	0.04798399519
832	0.04792412725
833	0.04786996549
834	0.04780848428
835	0.04776170692
836	0.0476942097
837	0.04761603006
838	0.04757907127
839	0.04753992595
840	0.04747085792
841	0.04742634885
842	0.04741203713
843	0.04737243461
844	0.04734185566
845	0.04731764166
846	0.04724912089
847	0.04723322499
848	0.04718738965
849	0.04715539614
850	0.04711262663
851	0.04706583668
852	0.04701909194
853	0.04699654646
854	0.04694742532
855	0.04689586465
856	0.04687584353
857	0.04686258014
858	0.04680974791
859	0.04675308758
860	0.04670962234
861	0.04666946196
862	0.04666209497
863	0.04664832991
864	0.04659189549
865	0.0465348984
866	0.0464866458
867	0.04645870988
868	0.04641096391
869	0.04638144953
870	0.04634507921
871	0.04630040211
872	0.04626540341
873	0.04622219046
874	0.04615400568
875	0.04609351211
876	0.04604594626
877	0.04600932822
878	0.04595212417
879	0.04591948349
880	0.0458703752
881	0.04581004016
882	0.0457727635
883	0.04571798897
884	0.04569298649
885	0.04564613836
886	0.04557232962
887	0.04554992857
888	0.04551261759
889	0.04546717286
890	0.04542376988
891	0.04537042775
892	0.04535226165
893	0.04530825235
894	0.04526730182
895	0.04525334923
896	0.04522015995
897	0.04517485643
898	0.04511065
899	0.04503100134
900	0.04498918558
901	0.04494279236
902	0.0449097223
903	0.04488147233
904	0.04483744152
905	0.04479970747
906	0.04475715661
907	0.04470646574
908	0.04466160489
909	0.04462041172
910	0.04458438277
911	0.04454584385
912	0.04451331495
913	0.04449112393
914	0.04445022557
915	0.04440534863
916	0.04436422792
917	0.04432469426
918	0.04427204874
919	0.04424938351
920	0.04421830474
921	0.04419153197
922	0.04416129407
923	0.04411101794
924	0.04407389182
925	0.04403851869
926	0.04402547799
927	0.04397343752
928	0.04393628183
929	0.04388091545
930	0.04383579955
931	0.04379284065
932	0.043739946
933	0.04371276377
934	0.04367279416
935	0.04362603831
936	0.0435754663
937	0.04356124389
938	0.04352939595
939	0.04349610503
940	0.0434668266
941	0.04343077278
942	0.04339922866
943	0.04333926559
944	0.04331701003
945	0.04326169415
946	0.04321654828
947	0.04317190342
948	0.04311367061
949	0.04305884171
950	0.04301954062
951	0.04296077808
952	0.04292198787
953	0.04288730212
954	0.04283953814
955	0.04278478496
956	0.04276027451
957	0.04272211445
958	0.042685723
959	0.04265845478
960	0.0426189056
961	0.04254737849
962	0.04249979667
963	0.04247212975
964	0.04243179888
965	0.04238930148
966	0.04233770134
967	0.04228771223
968	0.04224403132
969	0.0422120348
970	0.0421826963
971	0.04213672663
972	0.04211450727
973	0.04207523359
974	0.04205372405
975	0.04201068619
976	0.04197053164
977	0.04193140253
978	0.04190865352
979	0.04187988006
980	0.0418472397
981	0.04181690124
982	0.04177387218
983	0.04173975099
984	0.04169461173
985	0.04165202428
986	0.04159848571
987	0.0415355952
988	0.04151106357
989	0.0414628405
990	0.04144489487
991	0.04141019306
992	0.04139872443
993	0.0413294839
994	0.04129933369
995	0.04123764287
996	0.04118845465
997	0.0411640252
998	0.04112664922
999	0.04109282515
